"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $314.8/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x6620f9cdaaf2ee4f9c057d955456b82bce2fbf389c3d96d30b6eaa2290a608f0","27664816","1682450008","2023-04-25 19:13:28","0xb247104fb72765778b6d50d4d8e346d986532a2c","0x645853e0df3e59ca3611473f279014147aff59dd","","0","0","0","0.000463254","0.1458323592","338.29","","","Update Kyc Details",""
"0xd9c3cd0a7a27e331dedd5957b619ecdc99c7e4b0893ef230a9fc880afa75eb8f","27689172","1682523190","2023-04-26 15:33:10","0x21a1e893f23a44426d05776405ec7ad969a50be9","0x645853e0df3e59ca3611473f279014147aff59dd","","0","0","0","0.000381603","0.1201286244","330.68","","","Update Kyc Details",""
"0x38dfd8ca1a669d64f5d38c576f5e3c2c760d4f21211d44bb1ec5a604bcf32ff0","27691193","1682529259","2023-04-26 17:14:19","0x21a1e893f23a44426d05776405ec7ad969a50be9","0x645853e0df3e59ca3611473f279014147aff59dd","","0","0","0","0.000283635","0.089288298","330.68","","","Update Kyc Details",""
"0x6f9a8865ba23f449fe1e5d33cb7965bcec5d3cfdcd96f0b51e372ca2c35ad194","27740040","1682676046","2023-04-28 10:00:46","0xfbf61a7028b941b15517954c1b8bdb47eb837dfa","0x645853e0df3e59ca3611473f279014147aff59dd","","0","0","0","0.000421584","0.1327146432","324.21","","","Update Pool Details",""
"0xa037d399f8e37f57c19cd8f3f25de150c8528d4c520a729290469ccc2b4280f8","27745647","1682692886","2023-04-28 14:41:26","0xfbf61a7028b941b15517954c1b8bdb47eb837dfa","0x645853e0df3e59ca3611473f279014147aff59dd","","0","0","0","0.000294474","0.0927004152","324.21","","","Update Pool Details",""
"0x62069f211750db5f272939267d2fef08f23aa4ce59f82d3540bdafc275677a4f","27747219","1682697603","2023-04-28 16:00:03","0x24c6bbb049784095b398f54b963cc5c9189436e3","0x645853e0df3e59ca3611473f279014147aff59dd","","1","0","314.8","0.00234638","0.738640424","324.21","","","Contribute",""
"0x00ba45b75a23ea231e2c8d9451066f40c871da2d5d2d13b82452c3ff0ad96ee7","27747220","1682697606","2023-04-28 16:00:06","0x9c7b51b3c7b22a802797ff3fbb326f601cc0ea80","0x645853e0df3e59ca3611473f279014147aff59dd","","0.35","0","110.18","0.00133467","0.420154116","324.21","","","Contribute",""
"0x206c64c2dfbc2d0c651360af9959fa3b7ff014c515b11f61e300a52326184112","27747220","1682697606","2023-04-28 16:00:06","0xff6bbca48ac09d09e32f5ab00bc8ed0965d32c94","0x645853e0df3e59ca3611473f279014147aff59dd","","0.1","0","31.48","0.000556314","0.1751276472","324.21","","","Contribute",""
"0x7f311aa5017c6611bcb96d3fd75dfaea899eb1568a1653062ea13102a5fdd4e9","27747221","1682697609","2023-04-28 16:00:09","0x21bbd3eb1f245e0c47c234b1cc7a5666ab603a06","0x645853e0df3e59ca3611473f279014147aff59dd","","0.5","0","157.4","0.000556314","0.1751276472","324.21","","","Contribute",""
"0x04f5c1ff157749448029c2aa4f8946bec7a416151b23a2285ba08bc1e2d3768a","27747221","1682697609","2023-04-28 16:00:09","0x5e7032b180bffe6753b71e9d26514561e7e5867d","0x645853e0df3e59ca3611473f279014147aff59dd","","1.451696775819060939","0","456.99414502784","0.00124467","0.391822116","324.21","","","Contribute",""
